ALLOC,Pres::camkick.dat,0xebf8b0,272,RAM,809,7889696
ALLOC,Effects::partcls.big,0xebf9f0,41872,RAM,809,7931568
ALLOC,AI::formdata.big,0xec9db0,143824,RAM,809,8075392
ALLOC,Animation::data/cmn/be/script.bin,0xeecfb0,120976,RAM,811,8196368
ALLOC,Audio::c_excite.bin,0xf0a870,144,RAM,813,8196512
ALLOC,AI::tacicon.big,0xf0a930,153808,RAM,814,8350320
ALLOC,AI::setplays.bin,0xf30230,1616,RAM,814,8351936
ALLOC,AI::setplays.big,0xf308b0,33488,RAM,815,8385424
ALLOC,GUI::AptCacheManager,0xf38bb0,80,RAM,815,8385504
ALLOC,GlobalNew,0xf38c30,208,RAM,815,8385712
ALLOC,data/jgui/ti/ti.big,0xf38d30,80,RAM,815,8385792
ALLOC,bigfile buf,0xf38db0,2064,RAM,816,8387856
FREE, ,0xf38db0,2064,RAM,817,8385792
ALLOC,bigfile buf,0xf38d70,16400,RAM,818,8402192
ALLOC,GlobalNew,0xf3cdb0,208,RAM,819,8402400
ALLOC,GlobalNew,0xf3ceb0,208,RAM,820,8402608
ALLOC,data/jgui/preload.big,0xf3cfb0,209616,RAM,821,8612224
ALLOC,GlobalNew,0xf702b0,208,RAM,835,8612432
ALLOC,GUI::data/jgui/fonts.ffc,0x1f30930,459200,RAM,838,9071632
ALLOC,GUI::data/jgui/fonts.ffc,0xf703b0,459152,RAM,867,9530784
FREE, ,0x1f30930,459200,RAM,867,9071584
ALLOC,GUI::FONT::Names,0xfe0570,80,RAM,868,9071664
ALLOC,GUI::data/jgui/ABACE___.pfr,0x1f9d8f0,12800,RAM,870,9084464
ALLOC,GUI::data/jgui/ABACE___.pfr,0xfe05f0,12816,RAM,872,9097280
FREE, ,0x1f9d8f0,12800,RAM,872,9084480
ALLOC,Comm::GAMELIST,0xfe37f0,400,RAM,873,9084880
ALLOC,Comm::MACHINE,0xfe39b0,1296,RAM,873,9086176
ALLOC,Comm::PCKTELEM,0xfe3ef0,63504,RAM,873,9149680
ALLOC,System::CommBuddyList::Create,0xff3730,208,RAM,874,9149888
ALLOC,System::LOBBY,0xff3830,1360,RAM,875,9151248
ALLOC,System::RPC,0xff3db0,8400,RAM,875,9159648
ALLOC,DB::NIKAD Database On Disk,0xff5eb0,80,RAM,875,9159728
ALLOC,DB::smallobj,0xff5f30,784,RAM,876,9160512
ALLOC,DB::smallobj,0xff6270,272,RAM,877,9160784
ALLOC,DB::smallobj,0xff63b0,592,RAM,877,9161376
ALLOC,DB::NIKAD Database On Disk,0xff6630,80,RAM,877,9161456
ALLOC,DB::smallobj,0xff66b0,26128,RAM,878,9187584
ALLOC,DB::smallobj,0xffccf0,10256,RAM,878,9197840
ALLOC,DB::smallobj,0xfff530,592,RAM,878,9198432
ALLOC,DB::NIKAD Frontend Database In Memory,0x1dcd770,1913728,RAM,879,11112160
FREE, ,0xff5f30,832,RAM,879,11111328
FREE, ,0xff6270,320,RAM,879,11111008
ALLOC,DB::smallobj,0xff5ef0,784,RAM,880,11111792
ALLOC,DB::smallobj,0xff6230,272,RAM,880,11112064
ALLOC,DB::NIKAD Frontend LangDb In Memory,0x1d7d730,327744,RAM,880,11439808
FREE, ,0xff66b0,26176,RAM,880,11413632
FREE, ,0xffccf0,10304,RAM,881,11403328
ALLOC,DB::smallobj,0xff6670,26128,RAM,881,11429456
ALLOC,DB::smallobj,0xffccb0,10368,RAM,882,11439824
ALLOC,DB::smallobj,0xfff7b0,848,RAM,998,11440672
ALLOC,DB::smallobj,0xfffb30,1616,RAM,999,11442288
ALLOC,DB::smallobj,0x10001b0,89744,RAM,999,11532032
ALLOC,DB::smallobj,0x1016070,1552,RAM,999,11533584
ALLOC,DB::smallobj,0x10166b0,119632,RAM,1000,11653216
ALLOC,DB::smallobj,0x1033a30,89744,RAM,1000,11742960
ALLOC,DB::smallobj,0x10498f0,1808,RAM,1000,11744768
ALLOC,DB::smallobj,0x104a030,400,RAM,1000,11745168
ALLOC,DB::smallobj,0x104a1f0,1680,RAM,1001,11746848
ALLOC,DB::smallobj,0x104a8b0,9360,RAM,1001,11756208
ALLOC,DB::smallobj,0x104cd70,5712,RAM,1001,11761920
ALLOC,DB::smallobj,0x104e3f0,26064,RAM,1001,11787984
ALLOC,DB::smallobj,0x10549f0,592,RAM,1002,11788576
ALLOC,DB::smallobj,0x1054c70,1552,RAM,1002,11790128
ALLOC,DB::smallobj,0x10552b0,848,RAM,1002,11790976
ALLOC,DB::smallobj,0x1055630,1232,RAM,1003,11792208
ALLOC,DB::smallobj,0x1055b30,4176,RAM,1003,11796384
ALLOC,DB::smallobj,0x1056bb0,24656,RAM,1003,11821040
ALLOC,DB::smallobj,0x105cc30,12368,RAM,1003,11833408
ALLOC,DB::smallobj,0x105fcb0,1552,RAM,1004,11834960
ALLOC,DB::smallobj,0x10602f0,39632,RAM,1004,11874592
ALLOC,DB::smallobj,0x1069df0,3280,RAM,1004,11877872
ALLOC,DB::smallobj,0x106aaf0,784,RAM,1005,11878656
ALLOC,DB::smallobj,0x106ae30,208,RAM,1005,11878864
ALLOC,DB::smallobj,0x106af30,912,RAM,1005,11879776
ALLOC,TM::TibExtMemAlloc,0x106b2f0,528,RAM,1265,11880304
ALLOC,TM::TibExtMemAlloc,0x106b530,4624,RAM,1266,11884928
ALLOC,GUI::GUIO,0x1d78d30,18944,RAM,1266,11903872
ALLOC,GUI::GuioStatus,0x106c770,38736,RAM,1267,11942608
ALLOC,GUI::ProfileManager,0x1075ef0,11472,RAM,1267,11954080
ALLOC,TM::CompetitionControl,0x1078bf0,6352,RAM,1272,11960432
ALLOC,TM::SeasonImpl,0xff6370,64,RAM,1274,11960496
ALLOC,TM::TmControlImpl,0x107a4f0,11344,RAM,1274,11971840
ALLOC,TM::CareerManagerImpl,0x107d170,5648,RAM,1274,11977488
ALLOC,TM::CareerContractImpl,0x107e7b0,208,RAM,1275,11977696
ALLOC,TM::CareerTransferImpl,0x107e8b0,4240,RAM,1275,11981936
ALLOC,TM::CareerTeamImpl,0x107f970,80,RAM,1275,11982016
ALLOC,TM::DebugDB,0x107f9f0,336,RAM,1275,11982352
ALLOC,TM::Random,0x107fb70,208,RAM,1276,11982560
ALLOC,TM::TeamSelect,0x107fc70,8272,RAM,1276,11990832
ALLOC,TM::Event,0x1081cf0,15056,RAM,1277,12005888
ALLOC,TM::xTable,0x10857f0,1424,RAM,1277,12007312
ALLOC,TM::data\cmn\fe\career.trm,0x1d788f0,1088,RAM,1280,12008400
ALLOC,TM::data\cmn\fe\career.trm,0x1085db0,1040,RAM,1281,12009440
FREE, ,0x1d788f0,1088,RAM,1282,12008352
FREE, ,0x1085db0,1088,RAM,1282,12007264
ALLOC,DB::LoadFormCalcTable,0x1085db0,80,RAM,1283,12007344
ALLOC,DB::Tuning::TuningData,0x1085e70,656,RAM,1284,12008000
ALLOC,UNKNOWN::data\cmn\fe\fctmai.bin,0x1086130,656,RAM,1287,12008656
ALLOC,UNKNOWN::data\cmn\fe\fctmai.bin,0x1d78ab0,640,RAM,1289,12009296
FREE, ,0x1086130,656,RAM,1289,12008640
FREE, ,0x1d78ab0,640,RAM,1290,12008000
ALLOC,DB::Tuning::TuningData mTables,0x10860f0,80,RAM,1290,12008080
ALLOC,DB::Tuning::TuningData TuningDataTable,0x1086170,80,RAM,1290,12008160
ALLOC,AI::AICMD_FRAME_DATA,0x10861f0,12304,RAM,1291,12020464
ALLOC,System::FEBEPool,0x1089230,80,RAM,1291,12020544
ALLOC,System::FEBEPool::Data,0x10892b0,102416,RAM,1291,12122960
ALLOC,AI::FormationIndex,0x10a22f0,528,RAM,1294,12123488
ALLOC,Pres::camera.dat,0x10a2530,54416,RAM,1294,12177904
ALLOC,Pres::replay.dat,0x10af9f0,77200,RAM,1294,12255104
ALLOC,System::HASHTABLE,0x10c27b0,5200,RAM,1295,12260304
ALLOC,Audio::SND-Library Heap,0x10c3c30,112656,RAM,1295,12372960
ALLOC,Audio::data\audio\mix_mot.ini,0x10df470,2512,RAM,1299,12375472
ALLOC,Audio::data\audio\mix_mot.ini,0x1d78330,2560,RAM,1301,12378032
FREE, ,0x10df470,2512,RAM,1301,12375520
FREE, ,0x1d78330,2560,RAM,1302,12372960
ALLOC,data\audio\aems.big,0x10df470,80,RAM,1302,12373040
ALLOC,bigfile buf,0x10df4f0,2064,RAM,1302,12375104
ALLOC,Audio::SND-AEMS stream,0x10dfd30,176144,RAM,1304,12551248
ALLOC,Audio::fifa2004.csi,0x1d77ef0,3648,RAM,1305,12554896
ALLOC,Audio::fifa2004.csi,0x110ad70,3664,RAM,1307,12558560
FREE, ,0x1d77ef0,3648,RAM,1307,12554912
ALLOC,Audio::fifa2004.a1c,0x1d78470,2240,RAM,1310,12557152
ALLOC,Audio::fifa2004.a1c,0x110bbb0,2256,RAM,1312,12559408
FREE, ,0x1d78470,2240,RAM,1312,12557168
ALLOC,Audio::PBP Stream,0x110c470,78480,RAM,1312,12635648
ALLOC,data\audio\chants\chants.big,0x111f730,80,RAM,1313,12635728
ALLOC,bigfile buf,0x111f7b0,2064,RAM,1313,12637792
FREE, ,0x111f7b0,2064,RAM,1315,12635728
ALLOC,bigfile buf,0x111f770,16080,RAM,1316,12651808
ALLOC,Audio::Home Chants Stream,0x1123670,140816,RAM,1317,12792624
ALLOC,Audio::data\audio\chants\chants.bin,0x1d73670,22208,RAM,1322,12814832
ALLOC,Audio::data\audio\chants\chants.bin,0x1145cb0,22160,RAM,1324,12836992
FREE, ,0x1d73670,22208,RAM,1325,12814784
ALLOC,Audio::Shared Stream,0x114b370,142864,RAM,1326,12957648
ALLOC,Audio::data\audio\music\songlist.bin,0x116e1b0,5648,RAM,1330,12963296
ALLOC,Audio::data\audio\music\songlist.bin,0x1d776f0,5696,RAM,1332,12968992
FREE, ,0x116e1b0,5648,RAM,1332,12963344
ALLOC,Audio::SONG_DESC,0x116e170,27088,RAM,1333,12990432
FREE, ,0x1d776f0,5696,RAM,1334,12984736
ALLOC,Audio::Aud:timer list,0x1174b70,336,RAM,1334,12985072
ALLOC,Audio::Aud:free list,0x1174cf0,144,RAM,1334,12985216
LABEL,1335,FE_ENTER
ALLOC, ,0x1174db0,2640,RAM,1336,12987856
ALLOC,GUI::data/memcard/jpn_memc.loc,0x1d77af0,4672,RAM,1341,12992528
ALLOC,GUI::data/memcard/jpn_memc.loc,0x1175830,4688,RAM,1343,12997216
FREE, ,0x1d77af0,4672,RAM,1343,12992544
ALLOC,GUI::data/memicon/icon.sys,0x1176a70,1040,RAM,1346,12993584
ALLOC,GUI::data/memicon/icon.sys,0x1d78930,1024,RAM,1347,12994608
FREE, ,0x1176a70,1040,RAM,1348,12993568
ALLOC,GUI::data/memicon/list.ico,0x1176a70,58960,RAM,1354,13052528
ALLOC,GUI::data/memicon/list.ico,0x1d6a2f0,58944,RAM,1359,13111472
FREE, ,0x1176a70,58960,RAM,1359,13052512
ALLOC,GUI::SmallObjAllocator,0x1176a70,656,RAM,1360,13053168
ALLOC,GUI::smallobj,0x1176d30,717328,RAM,1361,13770496
ALLOC,GUI::FontFusion mem,0x1225f70,81936,RAM,1361,13852432
ALLOC,GUI::smallobj,0x1239fb0,16912,RAM,1361,13869344
ALLOC,GUI::smallobj,0x123e1f0,35856,RAM,1362,13905200
ALLOC,GlobalNew,0x1246e30,208,RAM,1362,13905408
ALLOC,data/jgui/jkitsnew/jkitsnew.big,0x1246f30,80,RAM,1362,13905488
ALLOC,bigfile buf,0x1246fb0,2064,RAM,1363,13907552
FREE, ,0x1246fb0,2064,RAM,1364,13905488
ALLOC,bigfile buf,0x1246f70,49552,RAM,1365,13955040
ALLOC,GlobalNew,0x1253130,208,RAM,1369,13955248
ALLOC,GlobalNew,0x1253230,208,RAM,1369,13955456
ALLOC,data/jgui/feload.big,0x1253330,2054224,RAM,1370,16009680
ALLOC,GlobalNew,0x1448bb0,208,RAM,1502,16009888
ALLOC,GUI::smallobj,0x1448cb0,1552,RAM,1502,16011440
ALLOC,GUI::smallobj,0x14492f0,1040,RAM,1502,16012480
ALLOC,GUI::smallobj,0x1449730,65552,RAM,1502,16078032
ALLOC,GUI::smallobj,0x1459770,4112,RAM,1503,16082144
ALLOC,GUI::smallobj,0x145a7b0,976,RAM,1503,16083120
ALLOC,GUI::smallobj,0x145abb0,4816,RAM,1504,16087936
ALLOC,GUI::smallobj,0x145beb0,1552,RAM,1504,16089488
ALLOC,GUI::smallobj,0x145c4f0,5136,RAM,1504,16094624
ALLOC,GUI::smallobj,0x145d930,7184,RAM,1505,16101808
ALLOC,GUI::smallobj,0x145f570,2128,RAM,1505,16103936
